SVVD,重箱量,提单箱量,SOC箱量,SOC空箱量,舱单收入,CY-CY收入,数字抬头收入,ARB+ARD,IHL+IHD,小箱UNIT,大箱UNIT,DOC\DCI\SLF,TSD,铁驳费用,手工驳船费,CY-CY含驳,LOCAL CHARGE,BUC,ICD,PSU,DPS,BKF,IBS,IBS返还,电商7开头费用,揽货佣金,景华峰操作费,船代佣金,未输入运费箱量,拖车箱量
CF66TCT047N,1263,1263,0,0,2854036,1352821,40755,484475,722548,771,246,20340,0,0,484475,1837296,253437,532627,6510,140200,5510,15755,91972,44036,0,79266,1770,4210,0,1351
IC1S7G073N,153,153,8,0,309808,189880,0,22280,73784,107,23,2600,0,0,22280,212160,23864,67630,2150,7634,4830,1050,10350,1558,0,8429,870,373,0,139
IC23TMB107N,41,41,0,0,93750,26193,0,11500,46947,31,5,720,0,0,11500,37693,9110,18900,90,5410,300,1350,2050,0,0,2651,60,35,0,80
IC10QSH103N,1244,1244,0,0,1458915,550806,450,389915,339374,964,140,22080,0,0,389915,940721,178370,578159,10290,37264,0,45636,95470,58600,0,27610,4470,1155,0,436
IC19CAL186N,190,190,0,0,529542,187558,0,75060,205389,80,55,2700,0,52800,22260,209818,61535,70853,1535,34880,11310,3105,12240,1776,0,15726,270,428,0,239
IC20S8Q078N,339,339,0,0,424481,115738,128,252430,7987,331,4,6700,0,0,252430,368168,48199,174588,8355,13404,0,11885,22910,3310,0,8713,180,651,0,6
IC26S8I031N,415,415,0,0,880847,311584,2908,309230,198819,355,30,7700,0,0,309230,620814,58306,200293,6860,12202,2860,17354,25890,14520,0,13746,390,1448,0,176
IC41NII009S,438,438,0,0,1160605,776583,0,163050,166894,322,58,7600,0,7800,155250,931833,54078,199500,3625,16816,1680,3622,31960,23410,0,16311,1110,2566,0,118
IC10R3N074N,874,874,0,0,1024351,443477,396,230960,219642,588,143,14620,0,0,230960,674437,129876,382507,7115,37295,0,29961,62620,40170,0,20059,3600,920,0,317
IC10QNV143S,2251,2251,44,0,5671539,4140010,3126,870690,308994,1373,439,35360,0,353480,517210,4657220,348719,951289,25665,134310,20811,5938,187660,62560,0,77777,6090,13019,0,474
IC20TMP024S,695,695,0,0,1965642,1196620,0,542020,167694,455,120,9100,0,8600,533420,1730040,59308,301875,5315,1560,1708,5690,50350,29594,0,29316,480,5020,0,251
IC15CAA175N,2073,2073,101,0,3877266,1800708,7080,1185870,612954,1387,343,34180,0,291200,894670,2695378,270654,901112,24270,71308,18546,78080,102720,32568,46,102786,14310,5841,0,1162
IC8S9M091N,16,16,0,0,35108,19000,0,8600,1866,12,2,280,0,0,8600,27600,5642,7350,260,560,3200,432,1450,380,0,845,180,78,0,4
IC16R2N108S,1140,1140,0,0,2508554,1075937,20104,797455,442839,822,159,19620,0,87000,710455,1786392,172220,514139,21575,34215,12288,49915,75802,29530,0,28490,1920,4285,0,644
IC18TMH085S,956,956,0,0,2773424,1974237,8301,124742,561736,554,201,14760,0,116324,8418,1982655,104407,396155,15710,47795,6128,6584,43900,2342,0,36645,10740,5690,0,1005
CF1QXG025N,28,28,0,0,164312,49851,0,78800,32379,28,0,560,0,60000,18800,68651,3282,14480,420,600,600,1232,850,60,0,1220,0,188,0,34
IC23R5M004N,11,11,0,0,27590,6995,0,3450,14365,11,0,220,0,0,3450,10445,2780,5775,0,1540,140,550,550,0,0,778,0,6,0,22
IC12RU0182S,1939,1939,0,0,4516214,3371158,70,481190,335988,683,628,26220,0,9200,471990,3843148,327808,688275,17835,143319,36839,3100,144550,25107,0,60568,8490,11460,0,644
IC9RAC156N,930,930,4,0,1097793,588391,17215,252100,110107,516,207,14460,0,2600,249500,837891,129980,378528,11800,29951,0,32359,67670,6260,0,22626,2760,1520,0,276
IC8S9M090S,1283,1283,596,0,2425764,1417432,0,484838,262180,579,352,18620,0,248138,236700,1654132,261314,488707,6315,200640,4412,9378,46884,22842,0,30081,3120,4047,0,347
IC7TAT384N,341,341,1,0,709292,337902,0,166030,165477,217,62,5580,0,32000,134030,471932,39883,145771,2405,13366,1382,3285,21850,11352,0,21096,390,1010,0,337
IC9Q55097S,2475,2475,12,0,5736711,4305007,31144,477527,597365,1437,519,37360,0,30142,447385,4752392,325668,1025601,19400,119233,37489,25022,143924,52637,1206,79980,1710,13190,0,686
IC5R9J129N,462,462,10,0,545054,433812,1350,10720,44645,66,198,5280,0,0,10720,444532,54527,138567,1820,19103,12840,8124,14460,3700,0,14375,0,1033,0,71
IC8TNH342S,550,550,0,0,1578201,934334,0,253908,181329,420,65,9700,0,59648,194260,1128594,208630,254319,4935,157320,1098,7342,42870,21328,0,19487,2400,3050,0,254
IC23TMB107S,275,275,2,0,609696,227569,0,220490,92125,197,39,4720,0,85350,135140,362709,69512,123900,4635,15805,28493,9988,15226,4689,0,7556,450,916,0,167
IC10QB3047N,1306,1306,17,0,1532058,624063,679,418105,301940,958,174,22620,0,0,418105,1042168,187271,593028,10635,42483,1560,44978,98250,56690,0,29998,3660,1482,0,478
IC11Q6I071S,1794,1794,2,0,4118812,2523840,800,425525,738576,750,522,25440,0,48850,376675,2900515,430071,667228,28710,233076,24245,54910,117840,36272,0,54875,2340,7448,0,1264
IC20TMP025N,213,213,0,0,247305,90965,128,118100,3229,209,2,4220,0,0,118100,209065,34884,110775,4525,8096,0,5738,21050,2090,0,4968,300,323,0,3
IC23Q3Z162N,264,264,0,0,422257,193661,50,52250,138075,20,122,2840,0,0,52250,245911,38221,74550,30,19221,1850,3400,13750,160,0,12727,0,434,0,514
IC23T84299N,71,71,0,0,260173,221695,7000,240,20300,71,0,1420,0,0,240,221935,10938,37275,15,5530,3318,50,2040,1987,0,8326,0,649,0,70
IC23TNQ178N,148,148,0,0,272335,119880,0,81100,22328,112,18,2600,0,4800,76300,196180,49027,68250,1730,26102,6295,6350,10280,3380,0,6291,0,442,0,58
IC23TMG205N,18,18,0,0,30089,6236,0,4000,15988,0,9,180,0,0,4000,10236,3865,4725,80,2880,0,35,950,100,0,825,60,17,0,32
IC36S4Z007N,30,30,0,0,49886,40600,0,0,0,28,1,580,0,0,0,40600,9286,15225,485,4240,432,1664,2950,300,0,1033,0,58,0,0
IC21VFC084S,320,320,0,0,508328,211041,0,50750,187265,240,40,5600,0,0,50750,261791,59272,147000,705,17642,15630,310,25690,8460,0,5750,0,354,0,388
IC23T84299S,219,219,0,0,437741,215640,0,27600,115140,219,0,4380,0,0,27600,243240,79361,114975,3450,41610,14356,12045,11350,480,0,4416,330,430,0,211
IC23TNQ178S,218,218,20,0,452924,228498,0,114580,48614,188,15,3660,0,54800,59780,288278,61232,105938,3000,7113,30633,6867,16619,6524,0,5215,420,617,0,94
IC9Q55098N,626,626,10,0,828044,458795,10349,155220,116612,324,151,9500,0,0,155220,614015,87068,248200,9040,20034,0,22024,45010,3940,0,19060,2250,1204,0,215
IC23TNS178S,619,619,0,0,1406090,446210,3,427210,404283,583,18,12020,0,0,427210,873420,128384,313402,8575,16656,58026,30483,23219,1410,0,17684,420,1932,0,774
IC10QB3046S,3363,3363,15,0,11150009,7678406,5254,2171170,752691,2521,421,58540,0,1567150,604020,8282426,542488,1540617,46965,193252,96848,24192,228196,73765,0,157737,14310,23679,0,1352
IC1S7G072S,1085,1085,30,0,2703679,1859439,23870,91124,577183,487,299,15720,0,54250,36874,1896313,152063,411748,12960,75421,6644,24268,45730,8320,0,37612,3210,5009,0,1167
